,Unnamed: 0,has_null,age,age_o,importance_same_race,importance_same_religion,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_o,sincere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,interests_correlate,expected_happy_with_sd_people,expected_num_interested_in_me,like,guess_prob_liked,met,match,age_gap,age_gap_abs,same_race,same_race_point,attractive_p,sincere_partner_p,intelligence_p,funny_p,ambition_p,shared_interests_p,attractive_m,sincere_partner_m,intelligence_m,funny_m,ambition_m,shared_interests_m,gender_male,race_Asian/PacificIslander/Asian-American,race_Black/AfricanAmerican,race_European/Caucasian-American,race_Latino/HispanicAmerican,race_Other,race_o_Asian/PacificIslander/Asian-American,race_o_Black/AfricanAmerican,race_o_European/Caucasian-American,race_o_Latino/HispanicAmerican,race_o_Other
0,0,0,21.0,27.0,2.0,4.0,35.0,20.0,20.0,20.0,0.0,5.0,6.0,8.0,8.0,8.0,8.0,6.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,9.0,7.0,7.0,6.0,5.0,0.14,3.0,2.0,7.0,6.0,0.0,0,6.0,6.0,-1,-2.0,210.0,160.0,160.0,160.0,0.0,30.0,90.0,180.0,140.0,105.0,90.0,75.0,0,1,0,0,0,0,0,0,1,0,0
1,1,0,21.0,22.0,2.0,4.0,60.0,0.0,0.0,40.0,0.0,0.0,7.0,8.0,10.0,7.0,7.0,5.0,15.0,20.0,20.0,15.0,15.0,15.0,7.0,8.0,7.0,8.0,5.0,6.0,0.54,3.0,2.0,7.0,5.0,1.0,0,1.0,1.0,-1,-2.0,420.0,0.0,0.0,280.0,0.0,0.0,105.0,160.0,140.0,120.0,75.0,90.0,0,1,0,0,0,0,0,0,1,0,0
2,2,1,21.0,22.0,2.0,4.0,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,15.0,20.0,20.0,15.0,15.0,15.0,5.0,8.0,9.0,8.0,5.0,7.0,0.16,3.0,2.0,7.0,-99.0,1.0,1,1.0,1.0,1,2.0,190.0,180.0,190.0,180.0,140.0,120.0,75.0,160.0,180.0,120.0,75.0,105.0,0,1,0,0,0,0,1,0,0,0,0
3,3,0,21.0,23.0,2.0,4.0,30.0,5.0,15.0,40.0,5.0,5.0,7.0,8.0,9.0,8.0,9.0,8.0,15.0,20.0,20.0,15.0,15.0,15.0,7.0,6.0,8.0,7.0,6.0,8.0,0.61,3.0,2.0,7.0,6.0,0.0,1,2.0,2.0,-1,-2.0,210.0,40.0,135.0,320.0,45.0,40.0,105.0,120.0,160.0,105.0,90.0,120.0,0,1,0,0,0,0,0,0,1,0,0
4,4,0,21.0,24.0,2.0,4.0,30.0,10.0,20.0,10.0,10.0,20.0,8.0,7.0,9.0,6.0,9.0,7.0,15.0,20.0,20.0,15.0,15.0,15.0,5.0,6.0,7.0,7.0,6.0,6.0,0.21,3.0,2.0,6.0,6.0,0.0,1,3.0,3.0,-1,-2.0,240.0,70.0,180.0,60.0,90.0,140.0,75.0,120.0,140.0,105.0,90.0,90.0,0,1,0,0,0,0,0,0,0,1,0
5,5,0,21.0,25.0,2.0,4.0,50.0,0.0,30.0,10.0,0.0,10.0,7.0,7.0,8.0,8.0,7.0,7.0,15.0,20.0,20.0,15.0,15.0,15.0,4.0,9.0,7.0,4.0,6.0,4.0,0.25,3.0,2.0,6.0,5.0,0.0,0,4.0,4.0,-1,-2.0,350.0,0.0,240.0,80.0,0.0,70.0,60.0,180.0,140.0,60.0,90.0,60.0,0,1,0,0,0,0,0,0,1,0,0
6,6,0,21.0,30.0,2.0,4.0,35.0,15.0,25.0,10.0,5.0,10.0,3.0,6.0,7.0,5.0,8.0,7.0,15.0,20.0,20.0,15.0,15.0,15.0,7.0,6.0,7.0,4.0,6.0,7.0,0.34,3.0,2.0,6.0,5.0,0.0,0,9.0,9.0,-1,-2.0,105.0,90.0,175.0,50.0,40.0,70.0,105.0,120.0,140.0,60.0,90.0,105.0,0,1,0,0,0,0,0,0,1,0,0
7,7,1,21.0,27.0,2.0,4.0,33.33,11.11,11.11,11.11,11.11,22.22,6.0,7.0,5.0,6.0,8.0,6.0,15.0,20.0,20.0,15.0,15.0,15.0,4.0,9.0,7.0,6.0,5.0,6.0,0.5,3.0,2.0,6.0,7.0,-99.0,0,6.0,6.0,-1,-2.0,199.98,77.77,55.55,66.66,88.88,133.32,60.0,180.0,140.0,90.0,75.0,90.0,0,1,0,0,0,0,0,0,1,0,0
8,8,0,21.0,28.0,2.0,4.0,50.0,0.0,25.0,10.0,0.0,15.0,7.0,7.0,8.0,8.0,8.0,9.0,15.0,20.0,20.0,15.0,15.0,15.0,7.0,6.0,8.0,9.0,8.0,8.0,0.28,3.0,2.0,7.0,7.0,0.0,1,7.0,7.0,-1,-2.0,350.0,0.0,200.0,80.0,0.0,135.0,105.0,120.0,160.0,135.0,120.0,120.0,0,1,0,0,0,0,0,0,1,0,0
9,9,0,21.0,24.0,2.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,15.0,20.0,20.0,15.0,15.0,15.0,5.0,6.0,6.0,8.0,10.0,8.0,-0.36,3.0,2.0,6.0,6.0,0.0,0,3.0,3.0,-1,-2.0,600.0,0.0,0.0,0.0,0.0,0.0,75.0,120.0,120.0,120.0,150.0,120.0,0,1,0,0,0,0,0,0,1,0,0
10,10,0,24.0,27.0,2.0,5.0,35.0,20.0,20.0,20.0,0.0,5.0,8.0,7.0,6.0,9.0,7.0,4.0,45.0,5.0,25.0,20.0,0.0,5.0,5.0,7.0,8.0,4.0,6.0,3.0,0.29,4.0,5.0,6.0,4.0,0.0,0,3.0,3.0,1,2.0,280.0,140.0,120.0,180.0,0.0,20.0,225.0,35.0,200.0,80.0,0.0,15.0,0,0,0,1,0,0,0,0,1,0,0
11,11,0,24.0,22.0,2.0,5.0,60.0,0.0,0.0,40.0,0.0,0.0,7.0,6.0,10.0,6.0,6.0,5.0,45.0,5.0,25.0,20.0,0.0,5.0,8.0,5.0,6.0,6.0,9.0,6.0,0.18,4.0,5.0,7.0,3.0,0.0,0,-2.0,2.0,1,2.0,420.0,0.0,0.0,240.0,0.0,0.0,360.0,25.0,150.0,120.0,0.0,30.0,0,0,0,1,0,0,0,0,1,0,0
12,12,0,24.0,22.0,2.0,5.0,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,45.0,5.0,25.0,20.0,0.0,5.0,5.0,8.0,9.0,6.0,3.0,4.0,0.1,4.0,5.0,6.0,7.0,0.0,0,-2.0,2.0,-1,-2.0,190.0,180.0,190.0,180.0,140.0,120.0,225.0,40.0,225.0,120.0,0.0,20.0,0,0,0,1,0,0,1,0,0,0,0
13,13,0,24.0,23.0,2.0,5.0,30.0,5.0,15.0,40.0,5.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,9.0,7.0,6.0,5.0,7.0,-0.21,4.0,5.0,7.0,8.0,0.0,1,-1.0,1.0,1,2.0,270.0,45.0,135.0,360.0,45.0,45.0,315.0,45.0,175.0,120.0,0.0,35.0,0,0,0,1,0,0,0,0,1,0,0
14,14,0,24.0,24.0,2.0,5.0,30.0,10.0,20.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,7.0,8.0,45.0,5.0,25.0,20.0,0.0,5.0,6.0,8.0,7.0,9.0,7.0,8.0,0.32,4.0,5.0,8.0,6.0,1.0,0,0.0,0.0,-1,-2.0,300.0,100.0,200.0,100.0,70.0,160.0,270.0,40.0,175.0,180.0,0.0,40.0,0,0,0,1,0,0,0,0,0,1,0
15,15,0,24.0,25.0,2.0,5.0,50.0,0.0,30.0,10.0,0.0,10.0,7.0,8.0,7.0,5.0,7.0,7.0,45.0,5.0,25.0,20.0,0.0,5.0,8.0,7.0,8.0,3.0,6.0,2.0,0.73,4.0,5.0,6.0,5.0,0.0,0,1.0,1.0,1,2.0,350.0,0.0,210.0,50.0,0.0,70.0,360.0,35.0,200.0,60.0,0.0,10.0,0,0,0,1,0,0,0,0,1,0,0
16,16,0,24.0,30.0,2.0,5.0,35.0,15.0,25.0,10.0,5.0,10.0,5.0,3.0,4.0,3.0,5.0,3.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,5.0,9.0,6.0,7.0,9.0,0.6,4.0,5.0,8.0,7.0,0.0,0,6.0,6.0,1,2.0,175.0,45.0,100.0,30.0,25.0,30.0,315.0,25.0,225.0,120.0,0.0,45.0,0,0,0,1,0,0,0,0,1,0,0
17,17,0,24.0,27.0,2.0,5.0,33.33,11.11,11.11,11.11,11.11,22.22,7.0,7.0,7.0,7.0,7.0,5.0,45.0,5.0,25.0,20.0,0.0,5.0,5.0,8.0,7.0,5.0,9.0,5.0,0.07,4.0,5.0,5.0,6.0,0.0,0,3.0,3.0,1,2.0,233.31,77.77,77.77,77.77,77.77,111.1,225.0,40.0,175.0,100.0,0.0,25.0,0,0,0,1,0,0,0,0,1,0,0
18,18,0,24.0,28.0,2.0,5.0,50.0,0.0,25.0,10.0,0.0,15.0,8.0,6.0,9.0,9.0,8.0,7.0,45.0,5.0,25.0,20.0,0.0,5.0,7.0,6.0,8.0,9.0,4.0,5.0,0.11,4.0,5.0,5.0,6.0,0.0,1,4.0,4.0,1,2.0,400.0,0.0,225.0,90.0,0.0,105.0,315.0,30.0,200.0,180.0,0.0,25.0,0,0,0,1,0,0,0,0,1,0,0
19,19,0,24.0,24.0,2.0,5.0,100.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,7.0,7.0,9.0,7.0,45.0,5.0,25.0,20.0,0.0,5.0,6.0,7.0,8.0,7.0,9.0,8.0,0.39,4.0,5.0,8.0,7.0,0.0,0,0.0,0.0,1,2.0,600.0,0.0,0.0,0.0,0.0,0.0,270.0,35.0,200.0,140.0,0.0,40.0,0,0,0,1,0,0,0,0,1,0,0
20,20,1,25.0,27.0,8.0,4.0,35.0,20.0,20.0,20.0,0.0,5.0,7.0,8.0,6.0,5.0,8.0,4.0,35.0,10.0,35.0,10.0,10.0,0.0,7.0,9.0,10.0,7.0,8.0,9.0,-0.24,4.0,2.0,8.0,7.0,1.0,0,2.0,2.0,1,8.0,245.0,160.0,120.0,100.0,0.0,20.0,245.0,90.0,350.0,70.0,80.0,0.0,0,0,0,1,0,0,0,0,1,0,0
21,21,1,25.0,22.0,8.0,4.0,60.0,0.0,0.0,40.0,0.0,0.0,6.0,7.0,10.0,6.0,6.0,5.0,35.0,10.0,35.0,10.0,10.0,0.0,9.0,7.0,9.0,8.0,9.0,7.0,-0.14,4.0,2.0,8.0,7.0,0.0,0,-3.0,3.0,1,8.0,360.0,0.0,0.0,240.0,0.0,0.0,315.0,70.0,315.0,80.0,90.0,0.0,0,0,0,1,0,0,0,0,1,0,0
22,22,1,25.0,22.0,8.0,4.0,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,35.0,10.0,35.0,10.0,10.0,0.0,7.0,9.0,9.0,7.0,9.0,7.0,0.09,4.0,2.0,8.0,7.0,0.0,0,-3.0,3.0,-1,-8.0,190.0,180.0,190.0,180.0,140.0,120.0,245.0,90.0,315.0,70.0,90.0,0.0,0,0,0,1,0,0,1,0,0,0,0
23,23,1,25.0,23.0,8.0,4.0,30.0,5.0,15.0,40.0,5.0,5.0,7.0,9.0,8.0,8.0,8.0,8.0,35.0,10.0,35.0,10.0,10.0,0.0,9.0,7.0,9.0,7.0,9.0,7.0,-0.04,4.0,2.0,8.0,7.0,0.0,0,-2.0,2.0,1,8.0,210.0,45.0,120.0,320.0,40.0,40.0,315.0,70.0,315.0,70.0,90.0,0.0,0,0,0,1,0,0,0,0,1,0,0
24,24,1,25.0,24.0,8.0,4.0,30.0,10.0,20.0,10.0,10.0,20.0,6.0,10.0,8.0,6.0,-99.0,-99.0,35.0,10.0,35.0,10.0,10.0,0.0,9.0,10.0,10.0,10.0,10.0,10.0,-0.14,4.0,2.0,9.0,-99.0,0.0,0,-1.0,1.0,-1,-8.0,180.0,100.0,160.0,60.0,-99.0,-99.0,315.0,100.0,350.0,100.0,100.0,0.0,0,0,0,1,0,0,0,0,0,1,0
25,25,1,25.0,25.0,8.0,4.0,50.0,0.0,30.0,10.0,0.0,10.0,7.0,6.0,6.0,6.0,6.0,6.0,35.0,10.0,35.0,10.0,10.0,0.0,8.0,10.0,10.0,7.0,9.0,9.0,-0.3,4.0,2.0,8.0,-99.0,0.0,0,0.0,0.0,1,8.0,350.0,0.0,180.0,60.0,0.0,60.0,280.0,100.0,350.0,70.0,90.0,0.0,0,0,0,1,0,0,0,0,1,0,0
26,26,1,25.0,30.0,8.0,4.0,35.0,15.0,25.0,10.0,5.0,10.0,6.0,3.0,5.0,4.0,5.0,4.0,35.0,10.0,35.0,10.0,10.0,0.0,8.0,9.0,10.0,7.0,7.0,9.0,-0.26,4.0,2.0,8.0,7.0,0.0,0,5.0,5.0,1,8.0,210.0,45.0,125.0,40.0,25.0,40.0,280.0,90.0,350.0,70.0,70.0,0.0,0,0,0,1,0,0,0,0,1,0,0
27,27,1,25.0,27.0,8.0,4.0,33.33,11.11,11.11,11.11,11.11,22.22,4.0,5.0,6.0,4.0,6.0,4.0,35.0,10.0,35.0,10.0,10.0,0.0,7.0,9.0,9.0,8.0,9.0,7.0,0.29,4.0,2.0,8.0,7.0,0.0,0,2.0,2.0,1,8.0,133.32,55.55,66.66,44.44,66.66,88.88,245.0,90.0,315.0,80.0,90.0,0.0,0,0,0,1,0,0,0,0,1,0,0
28,28,1,25.0,28.0,8.0,4.0,50.0,0.0,25.0,10.0,0.0,15.0,7.0,7.0,6.0,8.0,7.0,7.0,35.0,10.0,35.0,10.0,10.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,-0.15,4.0,2.0,9.0,7.0,0.0,0,3.0,3.0,1,8.0,350.0,0.0,150.0,80.0,0.0,105.0,315.0,90.0,315.0,90.0,90.0,0.0,0,0,0,1,0,0,0,0,1,0,0
29,29,1,25.0,24.0,8.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,8.0,5.0,8.0,6.0,35.0,10.0,35.0,10.0,10.0,0.0,8.0,7.0,9.0,7.0,9.0,7.0,-0.47,4.0,2.0,8.0,7.0,0.0,0,-1.0,1.0,1,8.0,500.0,0.0,0.0,0.0,0.0,0.0,280.0,70.0,315.0,70.0,90.0,0.0,0,0,0,1,0,0,0,0,1,0,0
30,30,0,23.0,27.0,1.0,1.0,35.0,20.0,20.0,20.0,0.0,5.0,6.0,7.0,8.0,7.0,7.0,5.0,20.0,20.0,20.0,20.0,10.0,10.0,4.0,10.0,8.0,5.0,8.0,7.0,-0.18,1.0,2.0,6.0,7.0,0.0,0,4.0,4.0,1,1.0,210.0,140.0,160.0,140.0,0.0,25.0,80.0,200.0,160.0,100.0,80.0,70.0,0,0,0,1,0,0,0,0,1,0,0
31,31,0,23.0,22.0,1.0,1.0,60.0,0.0,0.0,40.0,0.0,0.0,6.0,5.0,10.0,6.0,6.0,5.0,20.0,20.0,20.0,20.0,10.0,10.0,8.0,7.0,8.0,10.0,7.0,8.0,-0.18,1.0,2.0,8.0,1.0,1.0,0,-1.0,1.0,1,1.0,360.0,0.0,0.0,240.0,0.0,0.0,160.0,140.0,160.0,200.0,70.0,80.0,0,0,0,1,0,0,0,0,1,0,0
32,32,0,23.0,22.0,1.0,1.0,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,20.0,20.0,10.0,10.0,4.0,7.0,8.0,8.0,6.0,7.0,0.05,1.0,2.0,4.0,1.0,0.0,0,-1.0,1.0,-1,-1.0,190.0,180.0,190.0,180.0,140.0,120.0,80.0,140.0,160.0,160.0,60.0,70.0,0,0,0,1,0,0,1,0,0,0,0
33,33,0,23.0,23.0,1.0,1.0,30.0,5.0,15.0,40.0,5.0,5.0,7.0,7.0,7.0,9.0,9.0,9.0,20.0,20.0,20.0,20.0,10.0,10.0,8.0,10.0,7.0,10.0,7.0,10.0,-0.18,1.0,2.0,8.0,10.0,1.0,1,0.0,0.0,1,1.0,210.0,35.0,105.0,360.0,45.0,45.0,160.0,200.0,140.0,200.0,70.0,100.0,0,0,0,1,0,0,0,0,1,0,0
34,34,0,23.0,24.0,1.0,1.0,30.0,10.0,20.0,10.0,10.0,20.0,8.0,8.0,9.0,8.0,8.0,9.0,20.0,20.0,20.0,20.0,10.0,10.0,6.0,9.0,8.0,9.0,8.0,9.0,0.21,1.0,2.0,7.0,7.0,0.0,0,1.0,1.0,-1,-1.0,240.0,80.0,180.0,80.0,80.0,180.0,120.0,180.0,160.0,180.0,80.0,90.0,0,0,0,1,0,0,0,0,0,1,0
35,35,0,23.0,25.0,1.0,1.0,50.0,0.0,30.0,10.0,0.0,10.0,6.0,6.0,7.0,7.0,8.0,7.0,20.0,20.0,20.0,20.0,10.0,10.0,5.0,10.0,8.0,4.0,8.0,2.0,0.37,1.0,2.0,4.0,3.0,0.0,0,2.0,2.0,1,1.0,300.0,0.0,210.0,70.0,0.0,70.0,100.0,200.0,160.0,80.0,80.0,20.0,0,0,0,1,0,0,0,0,1,0,0
36,36,0,23.0,30.0,1.0,1.0,35.0,15.0,25.0,10.0,5.0,10.0,7.0,6.0,3.0,5.0,6.0,5.0,20.0,20.0,20.0,20.0,10.0,10.0,7.0,10.0,10.0,7.0,10.0,5.0,0.35,1.0,2.0,5.0,1.0,0.0,0,7.0,7.0,1,1.0,245.0,90.0,75.0,50.0,30.0,50.0,140.0,200.0,200.0,140.0,100.0,50.0,0,0,0,1,0,0,0,0,1,0,0
37,37,0,23.0,27.0,1.0,1.0,33.33,11.11,11.11,11.11,11.11,22.22,6.0,7.0,8.0,6.0,6.0,5.0,20.0,20.0,20.0,20.0,10.0,10.0,5.0,9.0,9.0,5.0,9.0,7.0,0.15,1.0,2.0,6.0,6.0,0.0,0,4.0,4.0,1,1.0,199.98,77.77,88.88,66.66,66.66,111.1,100.0,180.0,180.0,100.0,90.0,70.0,0,0,0,1,0,0,0,0,1,0,0
38,38,0,23.0,28.0,1.0,1.0,50.0,0.0,25.0,10.0,0.0,15.0,7.0,7.0,7.0,10.0,9.0,10.0,20.0,20.0,20.0,20.0,10.0,10.0,9.0,8.0,10.0,10.0,7.0,8.0,-0.47,1.0,2.0,8.0,8.0,0.0,1,5.0,5.0,1,1.0,350.0,0.0,175.0,100.0,0.0,150.0,180.0,160.0,200.0,200.0,70.0,80.0,0,0,0,1,0,0,0,0,1,0,0
39,39,0,23.0,24.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,8.0,7.0,8.0,7.0,20.0,20.0,20.0,20.0,10.0,10.0,8.0,9.0,10.0,10.0,8.0,8.0,-0.19,1.0,2.0,10.0,8.0,0.0,0,1.0,1.0,1,1.0,700.0,0.0,0.0,0.0,0.0,0.0,160.0,180.0,200.0,200.0,80.0,80.0,0,0,0,1,0,0,0,0,1,0,0
40,40,1,21.0,27.0,8.0,1.0,35.0,20.0,20.0,20.0,0.0,5.0,6.0,8.0,8.0,8.0,7.0,6.0,20.0,5.0,25.0,25.0,10.0,15.0,5.0,8.0,8.0,2.0,2.0,2.0,-0.43,7.0,10.0,7.0,5.0,0.0,0,6.0,6.0,1,8.0,210.0,160.0,160.0,160.0,0.0,30.0,100.0,40.0,200.0,50.0,20.0,30.0,0,0,0,1,0,0,0,0,1,0,0
41,41,1,21.0,22.0,8.0,1.0,60.0,0.0,0.0,40.0,0.0,0.0,6.0,7.0,10.0,7.0,6.0,5.0,20.0,5.0,25.0,25.0,10.0,15.0,8.0,6.0,6.0,5.0,5.0,5.0,0.0,7.0,10.0,6.0,4.0,1.0,0,1.0,1.0,1,8.0,360.0,0.0,0.0,280.0,0.0,0.0,160.0,30.0,150.0,125.0,50.0,75.0,0,0,0,1,0,0,0,0,1,0,0
42,42,1,21.0,22.0,8.0,1.0,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,5.0,25.0,25.0,10.0,15.0,4.0,6.0,8.0,8.0,6.0,5.0,-0.17,7.0,10.0,6.0,5.0,1.0,0,1.0,1.0,-1,-8.0,190.0,180.0,190.0,180.0,140.0,120.0,80.0,30.0,200.0,200.0,60.0,75.0,0,0,0,1,0,0,1,0,0,0,0
43,43,1,21.0,23.0,8.0,1.0,30.0,5.0,15.0,40.0,5.0,5.0,6.0,8.0,6.0,8.0,10.0,10.0,20.0,5.0,25.0,25.0,10.0,15.0,8.0,5.0,5.0,7.0,7.0,9.0,0.08,7.0,10.0,8.0,2.0,1.0,1,2.0,2.0,1,8.0,180.0,40.0,90.0,320.0,50.0,50.0,160.0,25.0,125.0,175.0,70.0,135.0,0,0,0,1,0,0,0,0,1,0,0
